,datetime,datetime,atm_pressure,cloud_cover,dew_point,rain_mm,rh,snow_cover,sunlight_hrs,temp_celsius,visibility,weather_rating,forest area coverage,LowPressure,UUI2
62,31/07/2016 15:00,Sun,1007.7,9,23.9,0,68,,1.5,30.5,20,4,0.087407407,0.564636292,5.752958056
86,01/08/2016 15:00,Mon,1004.4,8,25.7,0,87,,1.05,28.1,20,2,0.087407407,0.715042106,5.353713109
110,02/08/2016 15:00,Tue,1004.1,10-,23.6,0,82,,0.86,26.9,25,4,0.087407407,0.727108216,4.740681444
134,03/08/2016 15:00,Wed,1004.8,10-,23.5,0,69,,2.26,29.8,15,3,0.087407407,0.698465216,4.264654186
158,04/08/2016 15:00,Thu,1005.6,2,23.1,0,60,,2.51,31.8,20,2,0.087407407,0.663738697,4.115254741
182,05/08/2016 15:00,Fri,1006.1,5,24.1,0,62,,2.49,32.3,15,2,0.087407407,0.641067406,3.94914483
206,06/08/2016 15:00,Sat,1005.4,2,23.7,0,57,,2.47,33.4,20,2,0.087407407,0.672607017,5.981515612
230,07/08/2016 15:00,Sun,1006.2,2,21.5,0,53,,2.67,32.3,20,2,0.087407407,0.63645254,7.150210716
254,08/08/2016 15:00,Mon,996.9,10-,22.3,0,56,,1.73,32.2,25,3,0.087407407,0.918339745,6.646043429
278,09/08/2016 15:00,Tue,998,6,19.6,0,38,,2.47,36.2,20,2,0.087407407,0.900249511,5.810333102
302,10/08/2016 15:00,Wed,1004,10-,22.7,0,61,,0.97,31.1,15,4,0.087407407,0.731058579,4.912014502
326,11/08/2016 15:00,Thu,1006.3,10-,18.9,0,51,,2.41,30.1,25,3,0.087407407,0.631812418,4.257803921
350,12/08/2016 15:00,Fri,1005.9,6,20.4,0,55,,2.29,30.4,15,2,0.087407407,0.650218549,3.94533906
374,13/08/2016 15:00,Sat,1003.8,5,20.8,0,56,,1.96,30.6,10,2,0.087407407,0.738850006,6.365349551
398,14/08/2016 15:00,Sun,1001.3,10-,19.8,0,57,,0.97,29.2,15,4,0.087407407,0.823464725,8.546406924
422,15/08/2016 15:00,Mon,999.7,10-,22.9,0,71,,0.81,28.7,15,4,0.087407407,0.865296948,7.367449757
446,16/08/2016 15:00,Tue,998.5,10-,24.9,0.5,84,,0.7,27.8,10,10,0.087407407,0.890903179,6.050232883
470,17/08/2016 15:00,Wed,996.4,7,24.8,0,66,,2.52,31.9,10,2,0.087407407,0.925532055,5.42369947
494,18/08/2016 15:00,Thu,1003.7,10,25.8,16,100,,0.03,25.8,4,15,0.087407407,0.742690545,4.970038924
518,19/08/2016 15:00,Fri,1003.9,9,23.8,0,64,,1.96,31.4,30,4,0.087407407,0.734972599,4.615830944
542,20/08/2016 15:00,Sat,1002,10-,24.2,0,76,,1.29,28.8,20,4,0.087407407,0.802183889,7.025739076
566,21/08/2016 15:00,Sun,1003.3,10-,24.9,0,71,,1.27,30.8,20,3,0.087407407,0.757679639,8.489785988
590,22/08/2016 15:00,Mon,983.9,10,23.4,3.5,97,,0.3,23.9,4,10,0.087407407,0.993438807,7.615402754
614,23/08/2016 15:00,Tue,1001.9,10-,24.9,0,80,,0.97,28.7,20,4,0.087407407,0.805338416,5.918252141
638,24/08/2016 15:00,Wed,1005.3,10-,23.4,0,77,,0.49,27.8,20,4,0.087407407,0.676995856,4.635103208
662,25/08/2016 15:00,Thu,1004.1,3,23.2,0,61,,2.36,31.6,20,2,0.087407407,0.727108216,4.340654778
686,26/08/2016 15:00,Fri,1000.1,1,21.7,0,55,,2.36,31.9,30,1,0.087407407,0.855696866,4.698302887
710,27/08/2016 15:00,Sat,1002.7,10,21.7,1.5,91,,0.31,23.2,15,10,0.087407407,0.779026108,7.112658595
734,28/08/2016 15:00,Sun,999.8,10,21.4,0,85,,0.59,24.1,10,4,0.087407407,0.862948707,9.149493542
758,29/08/2016 15:00,Mon,988.5,7,25,0,79,,1.42,29,25,2,0.087407407,0.983697501,7.960939547
782,30/08/2016 15:00,Tue,980.6,10-,24.2,0,81,,1.16,27.8,20,4,0.087407407,0.996598054,6.683086579
806,31/08/2016 15:00,Wed,997.7,0+,19.6,0,52,,2.35,30.6,30,1,0.087407407,0.905509631,5.693422502
830,01/09/2016 15:00,Thu,1005.4,3,22.4,0,63,,2.1,30.2,10,2,0.087407407,0.672607017,4.825438368
854,02/09/2016 15:00,Fri,1009,7,22.3,0,68,,0.47,28.8,15,2,0.087407407,0.5,3.750723665
878,03/09/2016 15:00,Sat,1011.3,4,20.9,0,57,,2.12,30.4,15,2,0.087407407,0.386985824,3.99452196
902,04/09/2016 15:00,Sun,1011.6,6,23.1,0,67,,2.24,29.9,15,2,0.087407407,0.372852234,4.285056698
926,05/09/2016 15:00,Mon,1009.6,7,22.8,0,59,,2.04,31.8,30,2,0.087407407,0.470035948,3.675488427
950,06/09/2016 15:00,Tue,1004.1,6,23.7,0,63,,2.11,31.6,30,2,0.087407407,0.727108216,3.867101013
974,07/09/2016 15:00,Wed,1001.4,8,24.4,0,75,,1.4,29.3,15,2,0.087407407,0.820538481,4.385867823
998,08/09/2016 15:00,Thu,998.2,10-,24.4,0.5,91,,0.56,26,5,10,0.087407407,0.896599549,5.057983823
1022,09/09/2016 15:00,Fri,1001,10-,22.3,0,64,,0.85,29.8,25,4,0.087407407,0.832018385,5.109792733
1046,10/09/2016 15:00,Sat,1007.8,8,21.9,0,63,,1.17,29.7,25,2,0.087407407,0.559713649,5.918918214
1070,11/09/2016 15:00,Sun,1012.7,10,20.8,0,86,,0.75,23.3,10,4,0.087407407,0.323004144,5.008897845
1094,12/09/2016 15:00,Mon,1014.2,10-,21.6,0,72,,1.07,27.1,15,4,0.087407407,0.261149994,3.194893855
1118,13/09/2016 15:00,Tue,1012.5,10,22.3,0,94,,0.48,23.3,15,10,0.087407407,0.331812228,2.163744959
1142,14/09/2016 15:00,Wed,1012.2,10-,22.6,0,87,,0.44,24.9,20,4,0.087407407,0.345246539,1.960514068
1166,15/09/2016 15:00,Thu,1011.6,10,19.7,0,69,,0.59,25.8,15,4,0.087407407,0.372852234,2.140862008
1190,16/09/2016 15:00,Fri,1012.8,10,21.9,0,94,,0.31,22.9,10,10,0.087407407,0.318646266,2.046889805
1214,17/09/2016 15:00,Sat,1009.6,10-,22.4,0,71,,1.41,28.2,10,4,0.087407407,0.470035948,3.830360456
1238,18/09/2016 15:00,Sun,1003.1,10,22.4,0,79,,0.33,26.3,20,4,0.087407407,0.764947804,6.788476882
1262,19/09/2016 15:00,Mon,1006.6,10,20.5,0.5,97,,0.13,21,4,10,0.087407407,0.617747875,5.853106736
1286,20/09/2016 15:00,Tue,1006.9,10,19.8,4.5,100,,0.15,19.8,1.6,10,0.087407407,0.60348325,4.575841107
1310,21/09/2016 15:00,Wed,1017,10,17.8,0,75,,0.37,22.4,20,10,0.087407407,0.167981615,2.328659219
1334,22/09/2016 15:00,Thu,1014.2,10-,20,0,97,,0.69,20.5,10,10,0.087407407,0.261149994,1.722896461
1358,23/09/2016 15:00,Fri,1011.5,10,21.6,0.5,100,,0.27,21.6,5,10,0.087407407,0.377540669,1.822903609
1382,24/09/2016 15:00,Sat,1015.7,10,22.3,2.5,100,,0.1,22.3,3,10,0.087407407,0.207510059,2.261291683
1406,25/09/2016 15:00,Sun,1014.1,10-,21.9,0,73,,0.96,27.2,15,4,0.087407407,0.265027401,2.797745306
1430,26/09/2016 15:00,Mon,1015.9,10-,23.5,0,80,,0.75,27.2,10,4,0.087407407,0.201009,2.078156719
1454,27/09/2016 15:00,Tue,1013,6,23.3,0,72,,1.41,28.9,10,2,0.087407407,0.310025519,1.862149357
1478,28/09/2016 15:00,Wed,1008,10,24,0,82,,0.32,27.3,7,10,0.087407407,0.549833997,2.470562029
1502,29/09/2016 15:00,Thu,1006.2,10-,23.2,0,81,,1.02,26.7,8,4,0.087407407,0.63645254,3.319051134
1526,30/09/2016 15:00,Fri,1013.1,10-,14.3,0,57,,0.92,23.3,20,4,0.087407407,0.30576366,2.740030058
1550,01/10/2016 15:00,Sat,1015.6,10,18.6,0,87,,0.45,20.8,10,4,0.087407407,0.210818293,2.512889621
1574,02/10/2016 15:00,Sun,1014.4,0+,19.3,0,63,,1.68,26.9,10,1,0.087407407,0.253506017,2.670072934
1598,03/10/2016 15:00,Mon,1009.2,10,23.2,0,88,,0.29,25.3,15,10,0.087407407,0.490001333,2.905664653
1622,04/10/2016 15:00,Tue,1009.1,10-,19.3,0,57,,0.87,28.6,30,4,0.087407407,0.495000167,2.9720152
1646,05/10/2016 15:00,Wed,1012.2,10-,21.7,0,78,,1.09,25.8,15,4,0.087407407,0.345246539,2.515741285
1670,06/10/2016 15:00,Thu,1009.5,10-,15.8,0,44,,1.33,29.3,30,4,0.087407407,0.475020813,2.610555683
1694,07/10/2016 15:00,Fri,1021,5,12.6,0,53,,1.29,22.7,20,2,0.087407407,0.083172696,1.544806254
1718,08/10/2016 15:00,Sat,1007.4,10,21.4,0,99,,0.32,21.6,8,4,0.087407407,0.579324252,4.117311718
1742,09/10/2016 15:00,Sun,1004.5,10-,14.6,0,61,,0.45,22.5,25,4,0.087407407,0.710949503,6.666166721
